ARCH: blackhole, CHIP_FREQ[MHz]: 1350, Max Compute Cores: 140
PCIe slot, core_x, core_y, RISC processor type, timer_id, time[cycles since reset], data, run host ID, trace id, trace id counter, zone name, type, source line, source file, meta data
0,1,2,BRISC,27577,150218039591,0,0,,,BRISC-FW,ZONE_START,427,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/brisc.cc,
0,1,2,BRISC,15955,150218040422,0,0,,,BRISC-KERNEL,ZONE_START,77,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/brisck.cc,
0,1,2,BRISC,15955,150218087087,0,0,,,BRISC-KERNEL,ZONE_END,77,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/brisck.cc,
0,1,2,BRISC,27577,150218094774,0,0,,,BRISC-FW,ZONE_END,427,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/brisc.cc,
0,1,2,NCRISC,15530,150218039743,0,0,,,NCRISC-FW,ZONE_START,127,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/ncrisc.cc,
0,1,2,NCRISC,10352,150218040293,0,0,,,NCRISC-KERNEL,ZONE_START,69,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/ncrisck.cc,
0,1,2,NCRISC,10352,150218094599,0,0,,,NCRISC-KERNEL,ZONE_END,69,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/ncrisck.cc,
0,1,2,NCRISC,15530,150218094625,0,0,,,NCRISC-FW,ZONE_END,127,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/ncrisc.cc,
0,1,2,TRISC_0,31365,150218039834,0,0,,,TRISC-FW,ZONE_START,148,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisc.cc,
0,1,2,TRISC_0,29986,150218040321,0,0,,,TRISC-KERNEL,ZONE_START,73,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,
0,1,2,TRISC_0,29986,150218090710,0,0,,,TRISC-KERNEL,ZONE_END,73,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,
0,1,2,TRISC_0,31365,150218090749,0,0,,,TRISC-FW,ZONE_END,148,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisc.cc,
0,1,2,TRISC_1,31365,150218039854,0,0,,,TRISC-FW,ZONE_START,148,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisc.cc,
0,1,2,TRISC_1,29986,150218040024,0,0,,,TRISC-KERNEL,ZONE_START,73,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,
0,1,2,TRISC_1,29986,150218090715,0,0,,,TRISC-KERNEL,ZONE_END,73,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,
0,1,2,TRISC_1,31365,150218090831,0,0,,,TRISC-FW,ZONE_END,148,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisc.cc,
0,1,2,TRISC_2,31365,150218039848,0,0,,,TRISC-FW,ZONE_START,148,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisc.cc,
0,1,2,TRISC_2,29986,150218040345,0,0,,,TRISC-KERNEL,ZONE_START,73,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,
0,1,2,TRISC_2,29986,150218090645,0,0,,,TRISC-KERNEL,ZONE_END,73,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,
0,1,2,TRISC_2,31365,150218090882,0,0,,,TRISC-FW,ZONE_END,148,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisc.cc,
0,1,3,BRISC,27577,150218039510,0,0,,,BRISC-FW,ZONE_START,427,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/brisc.cc,
0,1,3,BRISC,15955,150218040327,0,0,,,BRISC-KERNEL,ZONE_START,77,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/brisck.cc,
0,1,3,BRISC,15955,150218086630,0,0,,,BRISC-KERNEL,ZONE_END,77,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/brisck.cc,
0,1,3,BRISC,27577,150218094235,0,0,,,BRISC-FW,ZONE_END,427,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/brisc.cc,
0,1,3,NCRISC,15530,150218039659,0,0,,,NCRISC-FW,ZONE_START,127,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/ncrisc.cc,
0,1,3,NCRISC,10352,150218040207,0,0,,,NCRISC-KERNEL,ZONE_START,69,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/ncrisck.cc,
0,1,3,NCRISC,10352,150218094069,0,0,,,NCRISC-KERNEL,ZONE_END,69,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/ncrisck.cc,
0,1,3,NCRISC,15530,150218094095,0,0,,,NCRISC-FW,ZONE_END,127,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/ncrisc.cc,
0,1,3,TRISC_0,31365,150218039766,0,0,,,TRISC-FW,ZONE_START,148,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisc.cc,
0,1,3,TRISC_0,29986,150218040274,0,0,,,TRISC-KERNEL,ZONE_START,73,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,
0,1,3,TRISC_0,29986,150218090264,0,0,,,TRISC-KERNEL,ZONE_END,73,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,
0,1,3,TRISC_0,31365,150218090302,0,0,,,TRISC-FW,ZONE_END,148,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisc.cc,
0,1,3,TRISC_1,31365,150218039767,0,0,,,TRISC-FW,ZONE_START,148,/home/nazishbaliyan/assignment-1-single-core-matrix-multiplication-nbaliyan260/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisc.cc,
